,date,lhd_code,lhd_name,lga_code,lga_name,case_count,state_name,state_code
192,2020-03-18,X810,Northern NSW,17550,Tweed (A),2,New South Wales,NSW
193,2020-03-19,X700,Sydney,11570,Canterbury-Bankstown (A),1,New South Wales,NSW
194,2020-03-19,X700,Sydney,14170,Inner West (A),1,New South Wales,NSW
195,2020-03-19,X700,Sydney,17200,Sydney (C),2,New South Wales,NSW
196,2020-03-19,X710,South Western Sydney,11450,Camden (A),2,New South Wales,NSW
197,2020-03-19,X710,South Western Sydney,11570,Canterbury-Bankstown (A),2,New South Wales,NSW
198,2020-03-19,X710,South Western Sydney,14900,Liverpool (C),1,New South Wales,NSW
199,2020-03-19,X720,South Eastern Sydney,12930,Georges River (A),1,New South Wales,NSW
200,2020-03-19,X720,South Eastern Sydney,16550,Randwick (C),4,New South Wales,NSW
201,2020-03-19,X720,South Eastern Sydney,17150,Sutherland Shire (A),2,New South Wales,NSW
202,2020-03-19,X720,South Eastern Sydney,17200,Sydney (C),4,New South Wales,NSW
203,2020-03-19,X720,South Eastern Sydney,18050,Waverley (A),3,New South Wales,NSW
204,2020-03-19,X720,South Eastern Sydney,18500,Woollahra (A),4,New South Wales,NSW
205,2020-03-19,X730,Illawarra Shoalhaven,14400,Kiama (A),1,New South Wales,NSW
206,2020-03-19,X730,Illawarra Shoalhaven,18450,Wollongong (C),1,New South Wales,NSW
207,2020-03-19,X740,Western Sydney,12380,Cumberland (A),3,New South Wales,NSW
208,2020-03-19,X740,Western Sydney,16260,Parramatta (C),1,New South Wales,NSW
209,2020-03-19,X740,Western Sydney,17420,The Hills Shire (A),2,New South Wales,NSW
210,2020-03-19,X750,Nepean Blue Mountains,10900,Blue Mountains (C),1,New South Wales,NSW
211,2020-03-19,X750,Nepean Blue Mountains,13800,Hawkesbury (C),1,New South Wales,NSW
212,2020-03-19,X750,Nepean Blue Mountains,16350,Penrith (C),1,New South Wales,NSW
213,2020-03-19,X760,Northern Sydney,14000,Hornsby (A),1,New South Wales,NSW
214,2020-03-19,X760,Northern Sydney,14100,Hunters Hill (A),1,New South Wales,NSW
215,2020-03-19,X760,Northern Sydney,14500,Ku-ring-gai (A),3,New South Wales,NSW
216,2020-03-19,X760,Northern Sydney,14700,Lane Cove (A),2,New South Wales,NSW
217,2020-03-19,X760,Northern Sydney,15990,Northern Beaches (A),3,New South Wales,NSW
218,2020-03-19,X760,Northern Sydney,16700,Ryde (C),1,New South Wales,NSW
219,2020-03-19,X770,Central Coast,11650,Central Coast (C) (NSW),2,New South Wales,NSW
220,2020-03-19,X800,Hunter New England,12700,Dungog (A),1,New South Wales,NSW
221,2020-03-19,X800,Hunter New England,14650,Lake Macquarie (C),3,New South Wales,NSW
222,2020-03-19,X800,Hunter New England,15240,Mid-Coast (A),1,New South Wales,NSW
223,2020-03-20,X700,Sydney,11570,Canterbury-Bankstown (A),3,New South Wales,NSW
