,date,state_name,state_code,country,vax_1_dose,vax_2_dose,vax_1_%,vax_2_%,population,age_group,sex,death_count,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered,recovered_cum,hosp,hosp_cum,icu,icu_cum,vent,vent_cum,vaccines,vaccines_cum
94,2021-12-19,,,Australia,745550.0,693368.0,0.8472544206554843,0.7879539979089959,879960.0,"(20, 24)",Male,,,,,,,,,,,,,,,,,,,
95,2021-12-19,,,Australia,722086.0,686205.0,0.8675331353382736,0.8244247570715953,832344.0,"(20, 24)",Female,,,,,,,,,,,,,,,,,,,
96,2021-12-19,,,Australia,843764.0,789725.0,0.878163417385838,0.8219213012110388,960828.0,"(25, 29)",Male,,,,,,,,,,,,,,,,,,,
97,2021-12-19,,,Australia,819981.0,781096.0,0.8670551586747707,0.8259378159008912,945708.0,"(25, 29)",Female,,,,,,,,,,,,,,,,,,,
98,2021-12-19,,,Australia,856422.0,809884.0,0.902847311610314,0.8537865586313844,948579.0,"(30, 34)",Male,,,,,,,,,,,,,,,,,,,
99,2021-12-19,,,Australia,873719.0,836330.0,0.8960191239570429,0.8576758362116351,975112.0,"(30, 34)",Female,,,,,,,,,,,,,,,,,,,
100,2021-12-19,,,Australia,853510.0,814782.0,0.9391170972324153,0.8965046768253703,908843.0,"(35, 39)",Male,,,,,,,,,,,,,,,,,,,
101,2021-12-19,,,Australia,866370.0,835532.0,0.9354259498994253,0.9021299384458911,926177.0,"(35, 39)",Female,,,,,,,,,,,,,,,,,,,
102,2021-12-19,,,Australia,775519.0,745868.0,0.9633297724336679,0.9264980622080891,805040.0,"(40, 44)",Male,,,,,,,,,,,,,,,,,,,
103,2021-12-19,,,Australia,779200.0,755856.0,0.9558777526568175,0.9272406758369758,815167.0,"(40, 44)",Female,,,,,,,,,,,,,,,,,,,
104,2021-12-19,,,Australia,755337.0,730624.0,0.9145456856940484,0.8846237203586326,825915.0,"(45, 49)",Male,,,,,,,,,,,,,,,,,,,
105,2021-12-19,,,Australia,769330.0,749674.0,0.9042420025364333,0.8811390677726049,850801.0,"(45, 49)",Female,,,,,,,,,,,,,,,,,,,
106,2021-12-19,,,Australia,753006.0,732028.0,0.9867180681970066,0.9592290818746708,763142.0,"(50, 54)",Male,,,,,,,,,,,,,,,,,,,
107,2021-12-19,,,Australia,774199.0,756734.0,0.9660750250191543,0.9442815322453849,801386.0,"(50, 54)",Female,,,,,,,,,,,,,,,,,,,
108,2021-12-19,,,Australia,716859.0,700314.0,0.9434304191786987,0.9216561842380597,759843.0,"(55, 59)",Male,,,,,,,,,,,,,,,,,,,
109,2021-12-19,,,Australia,733326.0,718949.0,0.9214999824075517,0.9034337945905735,795796.0,"(55, 59)",Female,,,,,,,,,,,,,,,,,,,
110,2021-12-19,,,Australia,680801.0,665891.0,0.9762813315149976,0.9549001134308753,697341.0,"(60, 64)",Male,,,,,,,,,,,,,,,,,,,
111,2021-12-19,,,Australia,710739.0,696756.0,0.961350605224039,0.9424371003891451,739313.0,"(60, 64)",Female,,,,,,,,,,,,,,,,,,,
112,2021-12-19,,,Australia,597205.0,585972.0,0.9809785063692437,0.9625270005009979,608785.0,"(65, 69)",Male,,,,,,,,,,,,,,,,,,,
113,2021-12-19,,,Australia,633276.0,621850.0,0.9751844420387717,0.9575894953887566,649391.0,"(65, 69)",Female,,,,,,,,,,,,,,,,,,,
