,date,lhd_code,lhd_name,lga_code,lga_name,cases,state_name,state_code,country,saved_date
238,2020-03-20,X740,Western Sydney,10750,Blacktown (C),2,New South Wales,NSW,Australia,2021-12-22
239,2020-03-20,X740,Western Sydney,16260,Parramatta (C),1,New South Wales,NSW,Australia,2021-12-22
240,2020-03-20,X750,Nepean Blue Mountains,10900,Blue Mountains (C),1,New South Wales,NSW,Australia,2021-12-22
241,2020-03-20,X760,Northern Sydney,14000,Hornsby (A),3,New South Wales,NSW,Australia,2021-12-22
242,2020-03-20,X760,Northern Sydney,14500,Ku-ring-gai (A),1,New South Wales,NSW,Australia,2021-12-22
243,2020-03-20,X760,Northern Sydney,15950,North Sydney (A),1,New South Wales,NSW,Australia,2021-12-22
244,2020-03-20,X760,Northern Sydney,15990,Northern Beaches (A),4,New South Wales,NSW,Australia,2021-12-22
245,2020-03-20,X760,Northern Sydney,16700,Ryde (C),4,New South Wales,NSW,Australia,2021-12-22
246,2020-03-20,X760,Northern Sydney,17420,The Hills Shire (A),1,New South Wales,NSW,Australia,2021-12-22
247,2020-03-20,X770,Central Coast,11650,Central Coast (C) (NSW),1,New South Wales,NSW,Australia,2021-12-22
248,2020-03-20,X800,Hunter New England,11720,Cessnock (C),1,New South Wales,NSW,Australia,2021-12-22
249,2020-03-20,X800,Hunter New England,12700,Dungog (A),2,New South Wales,NSW,Australia,2021-12-22
250,2020-03-20,X800,Hunter New England,14650,Lake Macquarie (C),3,New South Wales,NSW,Australia,2021-12-22
